 ,X,Y
1,346,398
2,373,395
3,407,413
4,443,425
5,489,420
6,551,267
7,621,437
8,718,471
9,778,395
10,846,505
11,930,535
12,1026,560
13,599,1079
14,689,1084
15,431,1634
16,596,1560
17,686,1644
18,594,2010
19,426,2708
20,588,2658
21,673,2780
22,423,3316
23,584,3258
24,670,3369
25,590,3547
26,672,3967
27,426,3941
